date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:14	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20May%202012%2008:26:15%20GMT	http://maquette-site.jimdo.com/robots.txt		(from )
10:26:15	17053/17053	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:15%20GMT	http://maquette-site.jimdo.com/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/index.html	(from )
10:26:15	6036/6036	---M--	200	added ('OK')	text/css	date:Mon,%2007%20May%202012%2008:26:16%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/main.css?t=1330358375	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/main6251.css	(from )
10:26:15	4096/4096	---M--	200	added ('OK')	text/css	date:Mon,%2007%20May%202012%2008:26:16%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/layout.css?t=1330358375	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/layout6251.css	(from )
10:26:15	1043/1043	---M--	200	added ('OK')	text/css	date:Mon,%2007%20May%202012%2008:26:16%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/font.css?t=1330358375	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/layout/lfd1049b4455b755d/css/font6251.css	(from )
10:26:16	49384/49384	---M--	200	added ('OK')	text/css	etag:%222283107748%22	http://s.jimdo.com/app/cdn/min/group/web.css?201205041205	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/app/cdn/min/group/webcd23.css	(from )
10:26:16	25/25	---M--	200	added ('OK')	text/css	etag:%223747532961%22	http://s.jimdo.com/app/cdn/min/group/webonly.css?201205041205	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/app/cdn/min/group/webonlycd23.css	(from )
10:26:16	3237/3237	---M--	200	added ('OK')	text/css	etag:%221333163745%22	http://s.jimdo.com/app/cdn/min/file/css/print/print.css?201205041205	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/app/cdn/min/file/css/print/printcd23.css	(from )
10:26:20	17186/17186	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202012%2016:24:34%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i373ee080f33e8e4d/1330359874/std/image.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i373ee080f33e8e4d/1330359874/std/image.png	(from )
10:26:20	20900/20900	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:11:46%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i0269be00525de6fe/1330359106/std/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i0269be00525de6fe/1330359106/std/image.jpg	(from )
10:26:21	7512/7512	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:22%20GMT	http://maquette-site.jimdo.com/actualites/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/actualites/index.html	(from http://maquette-site.jimdo.com/)
10:26:24	254322/254322	---M--	200	added ('OK')	application/javascript	etag:%222371600315%22	http://s.jimdo.com/app/cdn/min/group/web.js?201205070935	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/app/cdn/min/group/webc954.js	(from )
10:26:24	15994/15994	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i6edc900be5c12c69/1330360057/thumb/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i6edc900be5c12c69/1330360057/thumb/image.jpg	(from )
10:26:26	16051/16051	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:25%20GMT	http://maquette-site.jimdo.com/jeux-de-societes/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/jeux-de-societes/index.html	(from http://maquette-site.jimdo.com/)
10:26:26	8133/8133	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:25%20GMT	http://maquette-site.jimdo.com/animations/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/animations/index.html	(from http://maquette-site.jimdo.com/)
10:26:26	34953/34953	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i6edc900be5c12c69/1330360057/std/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i6edc900be5c12c69/1330360057/std/image.jpg	(from )
10:26:26	8215/8215	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:27%20GMT	http://maquette-site.jimdo.com/livres/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/livres/index.html	(from http://maquette-site.jimdo.com/)
10:26:27	8536/8536	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:27%20GMT	http://maquette-site.jimdo.com/a-vendre/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/a-vendre/index.html	(from http://maquette-site.jimdo.com/)
10:26:28	14549/14549	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:27%20GMT	http://maquette-site.jimdo.com/contact/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/contact/index.html	(from http://maquette-site.jimdo.com/)
10:26:28	14451/14451	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i60cc79ceafcd7dc6/1330360057/std/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i60cc79ceafcd7dc6/1330360057/std/image.jpg	(from )
10:26:28	9269/9269	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20May%202012%2008:26:29%20GMT	http://maquette-site.jimdo.com/liens/	D:/Documents/Benoît/Documents/Wilbox/Wilbox/maquette-site.jimdo.com/liens/index.html	(from http://maquette-site.jimdo.com/)
10:26:29	7915/7915	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i60cc79ceafcd7dc6/1330360057/thumb/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i60cc79ceafcd7dc6/1330360057/thumb/image.jpg	(from )
10:26:29	6835/6835	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i014b8d62403d50eb/1330360057/std/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i014b8d62403d50eb/1330360057/std/image.jpg	(from )
10:26:30	336/336	---M--	200	added ('OK')	image/gif	etag:%221557448202%22	http://s.jimdo.com/s/img/cc/printer.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/cc/printer.gif	(from )
10:26:30	5563/5563	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202012%2016:27:37%20GMT	http://u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i014b8d62403d50eb/1330360057/thumb/image.jpg	D:/Documents/Benoît/Documents/Wilbox/Wilbox/u.jimdo.com/www49/o/s18cbac0d3fb4d7d7/img/i014b8d62403d50eb/1330360057/thumb/image.jpg	(from )
